snap_id,wh_id,material_id,snap_dt_key,on_hand_qty,alloc_qty,in_transit_qty,cycle_count_diff_qty,frozen_qty,qa_hold_qty,expiry_risk_qty
1,WH_E_RM,MAT_FG_1001,20250130,480,45,20,0,0,0,0
2,WH_E_RM,MAT_FG_1002,20250130,505,47,21,0,0,0,0
3,WH_E_RM,MAT_FG_1003,20250130,530,49,22,0,0,0,0
4,WH_E_RM,MAT_FG_1004,20250130,555,51,23,0,0,0,0
5,WH_E_RM,MAT_FG_1005,20250130,580,53,24,0,0,0,0
6,WH_E_RM,MAT_FG_1006,20250130,605,55,25,0,0,0,0
7,WH_E_RM,MAT_RM_2001,20250130,630,57,26,0,0,0,0
8,WH_E_RM,MAT_RM_2002,20250130,655,59,27,0,0,0,0
9,WH_E_RM,MAT_RM_2003,20250130,680,61,28,0,0,0,0
10,WH_E_RM,MAT_RM_2004,20250130,705,63,29,0,0,0,0
11,WH_E_RM,MAT_RM_2005,20250130,730,65,30,0,0,0,0
12,WH_E_RM,MAT_RM_2006,20250130,755,67,31,0,0,0,0
13,WH_E_RM,MAT_RM_2007,20250130,780,69,32,0,0,0,0
14,WH_E_RM,MAT_RM_2008,20250130,805,71,33,0,0,0,0
15,WH_E_RM,MAT_RM_2009,20250130,830,73,34,0,0,0,0
16,WH_E_RM,MAT_RM_2010,20250130,855,75,35,0,0,0,0
17,WH_E_FG,MAT_FG_1001,20250130,300,80,15,0,0,0,0
18,WH_E_FG,MAT_FG_1002,20250130,325,83,16,0,0,0,0
19,WH_E_FG,MAT_FG_1003,20250130,350,86,17,0,0,0,0
20,WH_E_FG,MAT_FG_1004,20250130,375,89,18,0,0,0,0
21,WH_E_FG,MAT_FG_1005,20250130,400,92,19,0,0,0,0
22,WH_E_FG,MAT_FG_1006,20250130,425,95,20,0,0,0,0
23,WH_E_FG,MAT_RM_2001,20250130,450,98,21,0,0,0,0
24,WH_E_FG,MAT_RM_2002,20250130,475,101,22,0,0,0,0
25,WH_E_FG,MAT_RM_2003,20250130,500,104,23,0,0,0,0
26,WH_E_FG,MAT_RM_2004,20250130,525,107,24,0,0,0,0
27,WH_E_FG,MAT_RM_2005,20250130,550,110,25,0,0,0,0
28,WH_E_FG,MAT_RM_2006,20250130,575,113,26,0,0,0,0
29,WH_E_FG,MAT_RM_2007,20250130,600,116,27,0,0,0,0
30,WH_E_FG,MAT_RM_2008,20250130,625,119,28,0,0,0,0
31,WH_E_FG,MAT_RM_2009,20250130,650,122,29,0,0,0,0
32,WH_E_FG,MAT_RM_2010,20250130,675,125,30,0,0,0,0
33,WH_S_RM,MAT_FG_1001,20250130,480,45,20,0,0,0,0
34,WH_S_RM,MAT_FG_1002,20250130,505,47,21,0,0,0,0
35,WH_S_RM,MAT_FG_1003,20250130,530,49,22,0,0,0,0
36,WH_S_RM,MAT_FG_1004,20250130,555,51,23,0,0,0,0
